"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
122;"GT";"urbain";"homme";67;"marie";"primaire";"retraité";4;FALSE;7787
123;"GT";"urbain";"homme";66;"marie";"secondaire";"employé";5;FALSE;4636
124;"GT";"urbain";"homme";57;"marie";"secondaire";"indépendant";4;FALSE;6412
125;"GT";"urbain";"homme";41;"marie";"secondaire";"employé";6;FALSE;4253
126;"GT";"urbain";"homme";49;"marie";"primaire";"employé";5;FALSE;4082
127;"GT";"urbain";"homme";62;"marie";"primaire";"retraité";4;FALSE;7715
128;"GT";"urbain";"homme";52;"marie";"secondaire";"employé";5;FALSE;5776
129;"GT";"urbain";"homme";73;"marie";"aucun";"retraité";2;FALSE;6339
130;"GT";"urbain";"homme";39;"marie";"primaire";"indépendant";4;FALSE;3831
131;"GT";"urbain";"homme";43;"marie";"secondaire";"ouvrier";4;FALSE;4049
132;"GT";"urbain";"femme";60;"veuf";"primaire";"indépendant";2;FALSE;9065
133;"GT";"urbain";"homme";38;"marie";"secondaire";"employé";4;FALSE;3913
134;"GT";"urbain";"homme";62;"marie";"secondaire";"retraité";6;FALSE;4478
135;"GT";"urbain";"femme";61;"veuf";"primaire";"ouvrier";4;FALSE;6097
136;"GT";"urbain";"femme";62;"veuf";"secondaire";"retraité";3;FALSE;4037
138;"GT";"urbain";"homme";83;"marie";"aucun";"retraité";5;FALSE;3837
139;"GT";"urbain";"homme";68;"marie";"primaire";"retraité";5;FALSE;6698
140;"GT";"urbain";"homme";54;"marie";"secondaire";"employé";4;FALSE;10245
141;"GT";"urbain";"homme";62;"marie";"primaire";"inactif";4;FALSE;6866
142;"GT";"urbain";"homme";59;"marie";"secondaire";"indépendant";6;FALSE;3232
143;"GT";"urbain";"homme";45;"marie";"secondaire";"ouvrier";4;FALSE;4422
144;"GT";"urbain";"homme";65;"marie";"secondaire";"retraité";4;FALSE;8744
145;"GT";"urbain";"femme";31;"celibataire";"secondaire";"inactif";3;FALSE;7005
146;"GT";"urbain";"homme";60;"marie";"primaire";"retraité";6;FALSE;3563
147;"GT";"urbain";"homme";43;"marie";"primaire";"employé";3;FALSE;2950
148;"GT";"urbain";"femme";41;"divorce";"secondaire";"cadre";2;FALSE;9425
149;"GT";"urbain";"homme";46;"marie";"primaire";"ouvrier";6;TRUE;2331
150;"GT";"urbain";"homme";45;"marie";"secondaire";"employé";4;FALSE;5942
151;"GT";"urbain";"femme";59;"divorce";"aucun";"inactif";1;FALSE;15760
152;"GT";"urbain";"homme";47;"marie";"primaire";"inactif";4;FALSE;2930
153;"GT";"urbain";"homme";53;"marie";"secondaire";"ouvrier";4;FALSE;5395
154;"GT";"urbain";"homme";56;"marie";"secondaire";"cadre";4;FALSE;11410
155;"GT";"urbain";"homme";55;"marie";"primaire";"ouvrier";5;FALSE;7345
156;"GT";"urbain";"homme";62;"marie";"secondaire";"inactif";3;FALSE;6515
157;"GT";"urbain";"homme";71;"marie";"secondaire";"retraité";5;FALSE;5681
158;"GT";"urbain";"femme";76;"veuf";"aucun";"inactif";2;FALSE;7097
159;"GT";"urbain";"femme";62;"celibataire";"primaire";"retraité";2;FALSE;7272
160;"GT";"urbain";"homme";47;"marie";"secondaire";"ouvrier";5;FALSE;4484
161;"GT";"urbain";"femme";69;"veuf";"aucun";"inactif";3;FALSE;5250
162;"GT";"urbain";"homme";41;"marie";"supérieur";"ouvrier";3;FALSE;5389
163;"GT";"urbain";"homme";47;"marie";"secondaire";"employé";4;FALSE;8883
164;"GT";"urbain";"homme";36;"marie";"secondaire";"ouvrier";4;FALSE;4795
165;"GT";"urbain";"homme";59;"marie";"primaire";"retraité";3;FALSE;8124
166;"GT";"urbain";"homme";64;"celibataire";"secondaire";"retraité";5;FALSE;5996
167;"GT";"urbain";"homme";41;"marie";"secondaire";"indépendant";3;FALSE;5864
168;"GT";"urbain";"homme";54;"marie";"secondaire";"employé";4;FALSE;3873
